video_id,author,text,like_count,published_at,fetched_at,cleaned_text
ve3kvQxETx0,@NimeshBytes,Instagram new update ko remove karne ke liye related video click karke full video dekhe👆,8,2025-10-29T11:22:43Z,2025-11-08T20:43:17.379912,instagram new update remove karne liye related video click karke full video dekhe
ve3kvQxETx0,@SayaniNaskar-ri4qk,I don&#39;t do anything yet it changed how can I see my massenger in instgram,0,2025-11-07T15:33:37Z,2025-11-08T20:43:17.379929,anything yet changed see massenger instgram
ve3kvQxETx0,@KusumaV-p5m,Comment,0,2025-11-05T15:04:48Z,2025-11-08T20:43:17.379934,comment
ve3kvQxETx0,@FardeenSidd-g8l,Bhai mujhe pata nahin tha maine kar diya ab Main Kya Karun,0,2025-11-04T19:35:12Z,2025-11-08T20:43:17.379940,bhai mujhe pata nahin tha maine kar diya main kya karun
ve3kvQxETx0,@NimeshBytes,Jankari pasand aaya ho SUBSCRIBE kar lo yaar,1,2025-11-02T04:46:14Z,2025-11-08T20:43:17.379945,jankari pasand aaya subscribe kar yaar
ve3kvQxETx0,@RiturajSingh-r5m,Mene abhi just kar liya tab puch ne aata ki sahi kaise kare...😢,5,2025-11-01T11:48:55Z,2025-11-08T20:43:17.379949,mene abhi kar liya tab puch aata sahi kaise kare
ve3kvQxETx0,@TheRealNikhilGamer,Nice video ❤,0,2025-10-31T15:45:31Z,2025-11-08T20:43:17.379952,nice video
ve3kvQxETx0,@darkshadow6802,Bhai draw ka option nhi ara,0,2025-10-29T18:24:48Z,2025-11-08T20:43:17.379956,bhai draw option nhi ara
ve3kvQxETx0,@NimeshBytes,DON&#39;T FORGET TO SUBSCRIBE ❤,2,2025-10-29T17:56:34Z,2025-11-08T20:43:17.379959,forget subscribe
ve3kvQxETx0,@NimeshKumar-do8rf,Hii,1,2025-10-29T17:48:15Z,2025-11-08T20:43:17.379964,hii
ve3kvQxETx0,@RameshKumar-s7k,Thank you bro❤,3,2025-10-29T17:42:01Z,2025-11-08T20:43:17.379968,thank bro
ve3kvQxETx0,@Ishant_Atala,Mera ho gaya,1,2025-10-29T07:11:32Z,2025-11-08T20:43:17.379972,mera gaya
ve3kvQxETx0,@PottiPotti143-r8v,How to change new to old,3,2025-10-28T05:23:13Z,2025-11-08T20:43:17.379980,change new old
uV5fUHPoqlc,@kn0wngirl4791,Kuch bhi post kardo gha ap ab,17,2025-04-06T21:53:11Z,2025-11-08T20:43:18.173321,kuch bhi post kardo gha
r42OAaOLkw4,@SurajvermaBerma,Yas bro ❤,1,2025-10-03T04:50:41Z,2025-11-08T20:43:19.025898,yas bro
r42OAaOLkw4,@SonamGupta-s7y,Pr nai ho Raha hai,1,2025-07-13T05:47:08Z,2025-11-08T20:43:19.025922,nai raha hai
r42OAaOLkw4,@AyeshaShaikh-f6g,Sleep mode kasye hataye add parent horha please batye 🙏🏻🙏🏻😭😭,3,2025-06-09T19:03:07Z,2025-11-08T20:43:19.025929,sleep mode kasye hataye add parent horha please batye
r42OAaOLkw4,@Pawanyadav-md4tm,Bhai mere me insta notification aa raha hai .insta is updating kya karu,2,2025-06-01T05:38:10Z,2025-11-08T20:43:19.025935,bhai mere insta notification raha hai insta updating kya karu
